ID,distanza totale percorsa (Km),tempo totale di percorrenza(s),tempo totale di attesa(s),velocità media(Km/h),emissioni totali di CO2(Kg),emissioni totali di CO(Kg),emissioni totali di HC(Kg),emissioni totali di PMx(Kg),emissioni totali di NOx(Kg),consumo totale di carburante(Kg),emissione totale di rumore(dBA)
Semaforo a ciclo fisso 1,,,,,,,,,,,
vehicle666,0.26445625533644573,34.80000000000001,11.2,1.9931355145916816,0.08537018104732105,1.6620419458727057e-05,3.5288973428849035e-06,6.755569328224312e-06,0.00031333567792845375,0.027435688039740565,15047.101017673338
vehicle500,0.2664613925066087,21.899999999999977,0.0,2.014854571973222,0.0883065345589541,2.9398546973201085e-05,8.876218935291094e-06,4.54505087784537e-06,0.00018480651049078873,0.02838040517173755,14274.933887553803
vehicle463,0.26745419241378804,19.600000000000023,0.0,1.9842035004659868,0.04368231075389574,0.00014447103294542915,1.4800670237783754e-06,5.97258311090637e-06,1.20167440063567e-05,0.014161441111237134,12730.755468356043
vehicle394,0.2657714301582487,19.299999999999955,0.0,1.9297428888107353,0.05811295392306259,0.0008186480630019765,7.423059358964035e-06,6.36394936955357e-06,1.2835508253721224e-05,0.018837900459648046,12656.246558316661
vehicle462,0.2660988689117223,17.600000000000023,0.0,1.8978545899987382,0.04661196489992286,0.0002184109894683606,1.909580634652931e-06,5.03698377031228e-06,1.2043202687381218e-05,0.015110328833472504,11662.063640396364
vehicle600,0.2644679962990517,33.69999999999999,11.4,1.7941793659658372,0.07901387143845656,2.8529725918714236e-05,8.192036433628179e-06,5.11884042049832e-06,0.0001630694240505348,0.025393617061716493,14350.972494784273
vehicle498,0.26705063506010474,22.000000000000057,0.3,1.8102788809783392,0.10984125626294361,1.706062676174051e-05,2.4672920475866255e-06,5.885648512175114e-06,0.0005815553043184971,0.03530004870335965,14379.556830418333
vehicle682,0.26533510207370714,15.600000000000023,0.0,1.7880226813231552,0.0929351056098283,0.00013498646992142618,2.138733528458809e-05,5.202213196653247e-05,0.00048583160494934847,0.029866359140249054,10516.082216030805
vehicle612,0.2658931586052622,14.399999999999977,0.0,1.7609219186600056,0.03862227359935199,5.02429378538499e-06,1.3392437409536722e-06,5.999752148091269e-06,0.0002518362631082125,0.012411418968474594,9758.772432936237
vehicle556,0.2669582882573323,17.90000000000009,0.0,1.7200288246012072,0.04453910277174496,1.167848503367556e-05,4.963163615541967e-06,1.5304372002668617e-05,0.0002552091706592977,0.014314143235215718,11737.071825711433
