VehicleID;Distanza percorsa (m);Tempo di percorrenza (s);Tempo di attesa (s);Velocità media (m/s);Emissioni di CO2 (g);Emissioni di CO (g);Emissioni di HC (g);Emissioni di PMx (g);Emissioni di NOx (g);Consumo di carburante (g);Consumo elettrico (Wh);Emissione di rumore (dBA)
vehicle283;0;0;0;0;0;0;0;0;0;0;0;0
vehicle284;193.96858131974227;20.09999999999991;0.0;0.061001175697276394;69.55743828319238;0.4201506795891752;0.002779656171088857;0.004716946761534363;0.023061330008812515;22.549448990104146;0.0;12778.302714299241
vehicle285;206.75459207242284;13.899999999999864;0.0;0.1524104896254943;41.616541650405;0.21438429655347907;0.001788721603025611;0.0036226241233271667;0.010579445303198962;13.490572366865505;0.0;9232.462621866645
vehicle286;266.559789700632;26.100000000000023;0.3;0.3778724024285832;65.73553515359635;0.612199963366187;0.003480582716010793;0.005503357913508229;0.009379328193884838;21.279010556857703;0.0;16288.055957265906
vehicle287;203.14366310885407;19.600000000000364;0.0;0.08042573606386061;48.646458891433774;0.01853639090960011;0.005039348197812813;0.003375082065564569;0.09526011231385366;15.633873588013827;0.0;12317.40859448645
vehicle288;0;0;0;0;0;0;0;0;0;0;0;0
vehicle289;268.1502203668963;15.900000000000006;0.0;1.2099913172132215;0.0;0.0;0.0;0.00569454010146436;0.0;0.0;43.602108355350325;10652.153776008518
vehicle290;267.8302970215053;21.199999999999818;0.0;0.10216089309406001;74.17230650367107;0.6935664820543027;0.048619180612451456;0.008592171028460684;0.12531601059429695;24.046402376979128;0.0;13759.21326373233
vehicle291;205.1976288855769;18.0;0.0;0.1216901206139886;50.746167168132835;0.20718609822093684;0.0018044701164344312;0.0034354496030585538;0.014547293426564783;16.427443414426843;0.0;11575.432502068605
vehicle292;191.0540954566615;16.600000000000023;0.0;0.6456179553206306;67.14845405763823;0.02235436839878003;0.006685226580548664;0.0034488479604462582;0.13741253305944184;21.58042573247177;0.0;10807.705647729073
vehicle293;191.93935537370484;20.700000000000003;0.0;3.124426436697445;47.14208172782848;0.1922274538259856;0.0012772185574961175;0.003929197656651378;0.015516775551756058;15.282821372648048;0.0;12899.59943077456
vehicle294;203.00425658235787;42.90000000000009;27.4;0.2224752030258117;81.30378760090932;1.3417191879718267;0.02403796116393619;0.010972508997420867;0.04648915090392175;26.35937806137707;0.0;10468.44087625457
vehicle295;267.97424641520234;32.0;8.7;0.10241674979646219;87.90517196728713;0.5838825420801453;0.057810846446126087;0.007573809753230912;0.1395078307072749;28.499158061534352;0.0;19853.389064101786
vehicle296;206.30646069741186;14.100000000000023;0.0;0.3000616021645196;48.26170960123212;0.43424976749353644;0.0028849862763114763;0.0043616976319176565;0.017587979768983814;15.645717014055087;0.0;9381.79264399102
vehicle297;0;0;0;0;0;0;0;0;0;0;0;0
vehicle298;192.43732867978196;18.299999999999955;0.0;0.1448646434036191;47.741038311936805;0.14480061232826266;0.001407224043982239;0.0039348690866434;0.013919475399834501;15.476556187897977;0.0;11616.224005038997
vehicle299;192.49040312033918;15.5;0.0;0.05986670166888046;51.145618798597454;0.6538921423345448;0.0036964513671917487;0.004142330802807889;0.0065002181685081106;16.556802005899666;0.0;10167.107702464335
vehicle300;266.3103081415625;29.30000000000001;6.8;1.3405451053776754;94.64607088045206;1.5014802275594623;0.026362126898112924;0.013875880837196455;0.06243777788646364;30.68545632339867;0.0;14461.091334825729
vehicle301;265.8701725341125;20.5;0.0;0.1721492290324213;50.72656253502555;0.5712709821564719;0.003252824964553795;0.004984472001461743;0.006922521852606301;16.420821017184544;0.0;13399.189141491366
